question_id,subject,question,choice_str,choice_index,choice_text,probability,aps_score,is_ground_truth
abstract_algebra_0,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",A,0,0,0.0006817712093802615,0.9999999999999999,False
abstract_algebra_0,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",B,1,4,0.2344957707310663,0.9760069607057869,True
abstract_algebra_0,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",C,2,2,0.0233112680848328,0.9993182287906197,False
abstract_algebra_0,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",D,3,6,0.7415111899747205,0.7415111899747205,False
abstract_algebra_1,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",A,0,8,0.022887904001454087,0.9999999999999998,False
abstract_algebra_1,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",B,1,2,0.05137897085776586,0.9771120959985458,False
abstract_algebra_1,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",C,2,24,0.7848315128748145,0.7848315128748145,True
abstract_algebra_1,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",D,3,120,0.14090161226596548,0.9257331251407799,False
abstract_algebra_2,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,A,0,0,0.005418246513827619,1.0,False
abstract_algebra_2,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,B,1,1,0.01029874704452205,0.9945817534861724,False
abstract_algebra_2,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,C,2,"0,1",0.08482601205335787,0.9842830064416503,False
abstract_algebra_2,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,D,3,"0,4",0.8994569943882925,0.8994569943882925,True
abstract_algebra_3,abstract_algebra,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",A,0,"True, True",0.018495271980031355,0.9936440643090495,False
